"superficie","prezo"
81,191.73
117,286.9
99,248.93
85,143.29
116,249.61
105,91.31
118,252
93,138.57
76,80.15
84,68.3
185,325.61
242,102.9
84,66.26
116,151.74
80,73.77
91,111.4
92,76.69
100,113.18
89,65.91
258,457.11
81,89.52
91,108.94
82,64.73
242,475.4
169,283.52
146,147.98
173,308.53
281,507.09
94,125.93
126,254.81
114,137.39
110,95.81
112,86.44
82,71.25
169,212.46
91,115.45
98,82.14
155,113.09
84,51.25
109,141.37
76,107.81
155,168.09
105,141.76
104,90.06
106,104.96
90,51.99
83,96.69
127,83.21
128,113.7
121,108.56
270,376.51
194,253.13
243,358.13
102,102.59
115,120.63
138,163.28
259,440.83
137,140.28
103,84.54
102,70.16
105,81.57
75,119.73
138,141.8
132,158.41
93,112.22
117,89.07
125,142.76
76,59.25
107,90.21
85,151.26
176,190.16
210,299.9
193,291.9
